crash_city,crash_country,lat,lon,death,airline,ori,year,dest
Honolulu,Hawaii,21.3069444,-157.8583333,11,Private - Parajump air show,"Haliive, HI",1976,"Honolulu, HI"
Hamada al Hambra,Libya,30.1347069,31.2541911,14,Aero Club Libya,Hamada al Hambra,1984,Tripoli
Near Hasloh,Germany,53.69154,9.91816,22,Pan International,"Hamburg, Germany",1982,"Malaga, Spain"
Near Mulheim,Germany,51.4185682,6.8845226,21,NFD - Nurnberger Flugdienst,Hannover,1972,Dusseldorf
Bangkok,Thailand,13.7563309,100.5017651,76,Hang Khong (Vietnam),Hanoi,1971,Bangkok
Near Skien,Norway,59.2089131,9.6057526,10,Scanex Air,"Hanover, West Germany",1971,"Skien, Norway"
Smiley,Texas,29.2677433,-97.6358283,5,Air Central,"Harlingen, TX",1977,"Austin, TX"
Hartford,Connecticut,41.7637111,-72.6850932,3,Corporate Air - Air Taxi,"Hartford, CT",1977,"Newburg, NY"
Off Ko Phuket,Thiland,7.9843109,98.3307468,83,Thai Airways,Hat Yai,1974,Phuket
Havana,Cuba,23.1135925,-82.3665956,38,Cubana de Aviacion,Havana,1973,Managua
Near Lone Pine,California,36.6060444,-118.0628654,35,Mineral County Airlines,"Hawthorne, NV",1975,Burbank
Philadelphia,Pennsylvania,39.9525839,-75.1652215,3,Air Pennsylvania - Air Taxi,"Hazelton, PA",1973,"Philadelphia, PA"
Heho,Burma,20.723192,96.8217017,45,Burma Airways,Heho,1977,Mong Hsat
Ilmajoki,Finland,62.7346099,22.5708697,6,Wasa Wings,Helsink,1972,Ilmajoki
North PacifiOcean,No Record Found,32.694866,-162.070312,24,Military - U.S. Air Force,Hickam AFB,1976,Pango Pango
Maui,Hawaii,20.7983626,-156.3319253,1,Aloha Airlines,Hilo,1972,Honolulu
Hakalau,Hawaii,19.8997222,-155.1291667,2,Air Taxi,"Hilo, HI",1977,"Honalulu, HI"
Ho Chi Minh City,Vietnam,10.8230989,106.6296638,1,Air France,Ho Chi Minh City,1985,Bangkok
Homer,Alaska,59.6425,-151.5483333,2,Homer Air Service - Air Taxi,"Homer, AK",1969,Local
Grogak,Bali,-8.191287,114.790497,107,Pan American World Airways,Hong Kong,1972,"Bali, Indonesia"
Kuala Lumpur,Malaysia,3.139003,101.686855,34,Japan Air Lines,Hong Kong,1986,Kuala Lumpur
Honolulu,HI,21.3069444,-157.8583333,5,Air Hawaii,Honolulu,1986,Lihue
Thirty-five miles west of Los Angeles,California,34.0522342,-118.2436849,1,Trans World Airlines,Honolulu,1980,Los Angeles
Kona,Hawaii,19.639994,-155.9969261,2,Island Airways,Honolulu,1987,Kona
Molokai,Hawaii,21.1443935,-157.0226297,8,Alii Air Hawaii - Air Taxi,"Honolulu, HI",1978,"Lanai, HI"
Lihue,Hawaii,21.9811111,-159.3711111,2,Aero PaLease - Air Taxi,"Honolulu, HI",1979,"Lihue, HI"
Maunaloa,Hawaii,21.1358333,-157.2163889,8,Panorama Air Tour,"Honolulu, HI",1978,"Molokai, HI"
Elkton,Kentucky,36.8100425,-87.1541675,11,Metro Air Systems,"Hopkinsville, KY",1984,"Lexington, KY"
Passadumkeag,Maine,45.1853362,-68.6166937,3,Aroostook Air - Air Taxi,"Houlton, ME",1975,"Portland, ME"
Houma,Louisiana,29.5957696,-90.7195348,3,Intracostals - Air Taxi,"Houma, LA",1988,Return
Near Puerto Vallarta,Mexico,20.653407,-105.2253316,27,Aeromexico,Houston,1980,Puerto Vallarta
Giddings,Texas,30.1827159,-96.936371,2,Aviation Charter - Air Taxi,"Houston, TX",1984,"Austin, TX"
Gulfport,Mississippi,30.3674198,-89.0928155,8,Universal Airways,"Houston, TX",1973,"Gulfport, MS"
Houston,Texas,29.7604267,-95.3698028,7,Eagle Commuter,"Houston, TX",1981,"Brownwood, TX"
Off Puerto Castilla,Honduras,16.0173268,-85.9585544,21,Military - U.S. Air Force,Howard AFB,1979,Trujillo AP
Near La Paz,Bolivia,-16.489689,-68.1192936,7,Military - U.S. Air Force,"Howard AFB, Panama",1981,"La Paz, Bolivia"
Taipei,Taiwan,25.0329694,121.5654177,28,Far Eastern Air Transport,Hualien,1970,Taipei
Near Hue,Vietnam,16.4498,107.5623501,12,Air America,Hue,1976,Da Nang
Galena,Alaska,64.7333333,-156.9275,4,Galena Air Service - Air Taxi,"Hughes, AK",1977,"Galena, AK"
Paintsville,Kentucky,37.8145384,-82.8071054,4,Wicks Flying Service - Air Taxi,"Humbolt, TN",1987,"Paintsville, KY"
New Hope,Georgia,34.7275,-84.5088899,62,Southern Airways,Huntsville,1987,Atlanta
Taipei,Taiwan,25.0329694,121.5654177,14,China Airlines (Taiwan),Hwa,1980,Lien
Mt. Iliamna,Alaska,60.0324921,-153.0880479,13,Alaska Aeronautical Industries,Iliamna,1969,Anchorage
Oxbow,Oregon,44.9748785,-116.8629359,4,Air Taxi,"Imnaha, OR",1978,"Fort Fairfield, ME"
Near Fairland,Indiana,39.5858806,-85.8635919,83,Allegheny Airlines / Forth Corporation,Indianapolis,1976,Bakalar AFB
Chicao,Illinois,41.8781136,-87.6297982,2,Henry Nichols - Air Taxi,"Indianapolis, IN",1972,"Chicago, Il"
