year,ori,dest,crash_city,crash_country,lat,lon,death,airline
1996,New Delhi,Dhahran / Chimkent,Near Charkhidadri,India,28.5920617,76.2652909,349,Saudi Arabian Airlines / Kazastan Airlines
2003,Zahedan,Kerman,Near Shahdad,Iran,30.4157741,57.7062572,275,Military - IslamiRevolution's Guards Corps
1994,Taipe,Nagoya,Near Komaki,Aichi,35.2903104,136.9109515,264,China Airlines (Taiwan)
1991,Jeddah,Sokoto,Jeddah,Saudi Arabia,21.2854067,39.2375507,261,Nationair (chartered by Nigeria Airways)
2001,New York City,"Santo Domingo, Dominican Rep.",Belle Harbor,Queens,40.5754846,-73.8507279,260,American Airlines
1997,Jakarta,Medan,Buah Nabar,Indonesia,3.384059,98.5583676,234,Garuda Indonesia Airlines
1996,New York City,Paris,Off East Moriches,New York,40.8050989,-72.7609336,230,Trans World Airlines
1998,New York City,Geneva,Off Peggy's Cove,Nova Scotia,44.4934044,-63.9125577,229,Swissair
1997,Seoul,Guam,Agana,Guam,13.4762824,144.7502228,229,Korean Airlines
2009,Rio de Janeiro,Paris,AtlantiOcean,570 miles northeast of Natal,51.6114851,-0.1233491,228,Air France
2002,Taipei,Hong Kong,Off Penghu Island,Taiwan,23.5025,119.5052778,225,China Airlines (Taiwan)
1991,Bangkok,"Wien, Austria",Near Ban Nong Rong,Thailand,18.4110485,98.7205877,223,Lauda Air
1999,New York City,Cairo,Off Nantucket Island,Massachusetts,42.4072107,-71.3824374,217,EgyptAir
1998,Denpasar,Taipei,Taipei,Taiwan,25.0329694,121.5654177,196,China Airlines (Taiwan)
1996,Puerto Plata,Gander,Off Puerto Plata,Domincan Republic,19.7807686,-70.6871091,189,"Alas Nacionales, leased from Birgen Air"
2007,Porto Alegre,Sao Paulo,Sao Paulo,Brazil,-23.5505199,-46.6333094,187,TAM (Brazil)
1989,Paramaribo,Zanderij,Near Paramaribo,Surinam,5.8520355,-55.2038278,176,Surinam Airways
1989,N'Djamena,Paris,Near Bilma,Niger,18.6929789,12.9176518,171,Union des Transportes Aeriens
2006,Anapa,St. Petersburg,Near Donetsk,Ukraine,48.015883,37.80285,170,Pulkovo Airlines
2000,Abidjan,Lagos,Off Abidjan,Ivory Coast,5.3599517,-4.0082563,169,Kenya Airways
1992,Karachi,Kathmandu,Near Kathmandu,Nepal,27.7172453,85.3239605,167,Pakistan International Airlines
1995,Miami,Cali,Near Buga,Valle del Cauca,3.9005079,-76.3021889,160,American Airlines
2005,Panama City,"Fort de France, Martinique",Near La Cucharita,Venezuela,10.0725699,-69.3466525,160,West Caribbean Airways
1994,Xian,Guangzhou,Near Xi'an,China,34.341575,108.93977,160,China Northwest Airlines
1992,Lagos,Kaduna,Near Lagos,Nigeria,6.5243793,3.3792057,158,Military - Federal Nigerian Air Force
1992,Benghazi,Tripoli,Tripoli,Libya,32.8872094,13.1913383,157,Libya Arab Airlines / Military - Libya Air Force
2006,Manaus,Brasilia,Near Sao Felix do Araguaia,Brazil,-11.617526,-50.6662628,154,Gol Airlines / Private
2008,Madrid,"Las Palmas, Canary Islands",Madrid,Spain,40.4167754,-3.7037902,154,Spanair
2004,"Sharm el Sheikh, Egypt","Cairo, Egypt",Off Sharm el Sheikh,Egypt,27.9158175,34.3299505,148,Flash Air
2001,Yekaterinburg,Irkutsk,Near Irkutsk,Russia,52.2869741,104.3050183,145,Vladivostokavia
1989,Bergamo,Orio al Serio,Santa Maria,Azores,36.9788003,-25.1059054,144,Independent Air Inc.
1996,Port Harcourt,Lagos,Lagos,Nigeria,6.5243793,3.3792057,143,Aviation Development Corporation
2000,Cairo,Manama,Off Manama,Bahrain,26.2285161,50.5860497,143,Gulf Air
1992,Guangzhou,Guilin,Near Liutang,Guangxi,24.6554953,109.2358584,141,China Southern Airlines
1995,Kinshasa,Jamba,Kahengula,Angola,-11.202692,17.873887,141,Trans Service Airlift
1996,Moscow,Svalbard,Spitsbergen,Norway,69.6414142,18.9393705,141,Vnokovo Airlines
2003,"Conakry, Guinea","Cotonou, Benin",Cotonou,Benin,6.3702928,2.3912362,140,Union des Transports Aeriens de Guinee
1993,Tehran,Khoram,Near Tehran,Iran,35.6891975,51.3889736,133,Iran Air Tours / Military - Iranian Air Force
1993,Panama City,Medellin,Near Medellin,Colombia,6.2530408,-75.5645737,132,SAM Colombia
1994,Chicago,Pittsburgh,Near Aliquippa,Pennsylvania,40.615537,-80.2621852,132,USAir
2000,Manila,Davao,Samal Island,Philippines,7.103312,125.7188463,131,Air Philippines
2003,Kinshasa,Lubumbashi,Near Kinshasa,Congo,-4.4419311,15.2662931,129,Ukrainian Cargo Airlines - Congolese Army Charter
2002,Beijing,Busan,Busan,South Korea,35.1795543,129.0756416,128,Air China
2006,Moscow,Irkutsk,Irkutsk,Russia,52.2869741,104.3050183,128,Sibir (S7)
1990,Guangzhou,Shanghi,Guangzhou,China,23.12911,113.264385,128,China Southwest Airlines / Xiamen Airlines
1996,Addis Ababa,Nairobi,Off Moroni,Comoros,-11.7172157,43.2473146,127,Ethiopian Airlines
1989,Managua,Tegucigalpa,Near Tegucigalpa,Honduras,14.0722751,-87.192136,127,TAN
1989,Havana,"KÃ¶ln, Bonn",Near Havana,Cuba,23.1135925,-82.3665956,126,Cubana de Aviacion
1994,Irkutsk,Moscow,Near Irrupts,Siberia,61.0137097,99.1966559,124,Baikal Air
1996,Lima,Arequipa,Arequipa,Peru,-16.4090474,-71.537451,123,Compania de Aviacion Faucett SA (Peru)
2005,"Larnaca, Cyprus","Athens, Greece",Near Grammatikos,Greece,38.2031194,23.9632194,121,Helios Airways
2005,Lagos,Abuja,Lisa,Nigeria,6.6438592,3.4787607,117,Bellview Airlines
2002,Tehran,Khorramabed,Near Khorramabed,Iran,33.4646833,48.3389644,117,Iran Air Tours
2003,Port Sudan,Khartoum,Port Sudan,Sudan,19.5903471,37.1901616,116,Sudan Airways
1993,GenÃ¨ve,Skopje,Near Ohrid,Macedonia,41.1230977,20.8016481,116,Aviaimpex (Macedonia)
2001,Milan,Copenhagen / Milan,Milan,Italy,45.4654219,9.1859243,114,Scandinavian Airlines (SAS) / Private
2007,"Abidjan, Ivory Coast","Douala, Cameroon",Near Dizangue,Cameroon,3.7796742,9.9772486,114,Kenya Airways
1992,Bangkok,Kathmandu,Near Kathmandu,Nepal,27.7172453,85.3239605,113,Thai Airways
2006,"Yerevan, Armenia","Sochi, Russia",Off Sochi,Russia,43.6028079,39.7341543,113,Armavia
1989,"Denver, CO","Chicago, IL",Sioux City,Iowa,42.4999942,-96.4003069,112,United Air Lines
2002,Beijing,Dalian,Off Dalian,China,38.913474,121.6210452,112,China Northern Airlines
1996,Miami,Atlanta,Everglades,Miami,25.7443617,-80.4323221,110,ValuJet
2000,Paris,New York City,Gonesse,France,48.9864632,2.4497721,109,Air France
2005,Abuja,Port Harcourt,Near Port Harcourt,Nigeria,4.815554,7.0498442,108,Sosoliso Airlines
1992,Nanjing,Xiamen,Nanjing,Jiangsu,32.060255,118.796877,108,China General Aviation Corporation
1989,Bogota,Cali,Bogota,Colombia,4.7109886,-74.072092,107,AVIANCA
1993,Tbilisi,Sukhumi,Sukhumi,Georgia,43.0015252,41.0234153,106,Transair Georgia Airlines
1998,Tacloban,Cagayan de Oro,Pagalungan,Philippines,6.9692802,124.7519807,104,Cebu PacifiAir
1997,Jakarta,Hatta,Near Palembang,Indonesia,-2.9760735,104.7754307,104,SilkAir
2005,Herat,Kabul,Near Peshawar,Pakistan,34.0149748,71.5804899,104,Kam Air
2003,Tamanrasset,Algiers,Tamanrasset,Algeria,22.7888209,5.5258107,102,Air Algerie
2007,"Surabaya, East Java","Manado, Indonesia",Off Parepare,Indonesia,-4.0096221,119.6290617,102,Adam Air
1998,Bangkok,Surat Thani,Near Surat Thani,Thailand,9.1382389,99.3217483,102,Thai Airways
2005,Medan,Jakarta,Medan,Indonesia,3.5951956,98.6722227,99,Mandala Airlines
1995,Yushno,Khabarovk,Near Grossevichi,Russia,47.981556,139.541809,98,Far East Aviation
2009,Jakarta,Maduin,Near Madiun,Indonesia,-7.6310587,111.5300159,98,Military - Indonesian Air Force
2006,Lagos,Abuja,Near Abuja,Nigeria,9.0764785,7.398574,96,ADC Airlines
1996,Sao Paulo,Rio de Janiero,Sao Paolo,Brazil,-23.5505199,-46.6333094,95,TAM (Brazil)
2005,Tehran,Bandar Abbas,Tehran,Iran,35.6891975,51.3889736,94,Military - IslamiRepubliof Iran Air Force
1990,Bombay,Bangalore,Near Bangalore,India,12.9715987,77.5945627,92,Indian Airlines
2001,Boston,Los Angeles,New York City,New York,40.7127837,-74.0059413,92,American Airlines
2002,Quito,TulcÃ¡n,Near Ipiales,Colombia,0.825542,-77.639504,92,TAME
1996,El Obeid,Khartoum,Near Jabal Awliya,Sudan,15.2286363,32.5259596,91,Military - Sudanese Air Force
2007,Bangkok,Phuket,Phuket,Thailand,7.9519331,98.3380884,90,One-Two-Go Airlines
1997,Dezful,Mashhad,Near Mashhad,Iran,36.2604623,59.6167549,88,Military - Iranian Air Force
